date,calsim_node,value,location,units,calsim_run
1939-06-30,C407,1325.3746265719546,Delta Outflow,cfs,2008 & 2009 BiOp
1939-07-31,C407,330.15095003305487,Delta Outflow,cfs,2008 & 2009 BiOp
1939-08-31,C407,77.69293906085204,Delta Outflow,cfs,2008 & 2009 BiOp
1939-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1939-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1939-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1939-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1940-01-31,C407,29635.542112030926,Delta Outflow,cfs,2008 & 2009 BiOp
1940-02-29,C407,65901.58873540998,Delta Outflow,cfs,2008 & 2009 BiOp
1940-03-31,C407,90288.402055577375,Delta Outflow,cfs,2008 & 2009 BiOp
1940-04-30,C407,71172.63830211209,Delta Outflow,cfs,2008 & 2009 BiOp
1940-05-31,C407,13673.469476130565,Delta Outflow,cfs,2008 & 2009 BiOp
1940-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1940-07-31,C407,2249.3539626074,Delta Outflow,cfs,2008 & 2009 BiOp
1940-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1940-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1940-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1940-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1940-12-31,C407,32225.265150720217,Delta Outflow,cfs,2008 & 2009 BiOp
1941-01-31,C407,91279.65414364683,Delta Outflow,cfs,2008 & 2009 BiOp
1941-02-28,C407,101231.4935375517,Delta Outflow,cfs,2008 & 2009 BiOp
1941-03-31,C407,86075.12052811675,Delta Outflow,cfs,2008 & 2009 BiOp
1941-04-30,C407,75130.31407188805,Delta Outflow,cfs,2008 & 2009 BiOp
1941-05-31,C407,39642.97980570261,Delta Outflow,cfs,2008 & 2009 BiOp
1941-06-30,C407,6998.397008142675,Delta Outflow,cfs,2008 & 2009 BiOp
1941-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1941-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1941-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1941-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1941-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1941-12-31,C407,38468.43236398497,Delta Outflow,cfs,2008 & 2009 BiOp
1942-01-31,C407,71662.69245218973,Delta Outflow,cfs,2008 & 2009 BiOp
1942-02-28,C407,124178.69249975095,Delta Outflow,cfs,2008 & 2009 BiOp
1942-03-31,C407,19783.448591656885,Delta Outflow,cfs,2008 & 2009 BiOp
1942-04-30,C407,52226.095736593,Delta Outflow,cfs,2008 & 2009 BiOp
1942-05-31,C407,25290.67840996602,Delta Outflow,cfs,2008 & 2009 BiOp
1942-06-30,C407,18709.68181037135,Delta Outflow,cfs,2008 & 2009 BiOp
1942-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1942-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1942-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1942-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1942-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1942-12-31,C407,9579.037429777205,Delta Outflow,cfs,2008 & 2009 BiOp
1943-01-31,C407,65733.6126076847,Delta Outflow,cfs,2008 & 2009 BiOp
1943-02-28,C407,40554.00511341548,Delta Outflow,cfs,2008 & 2009 BiOp
1943-03-31,C407,76232.36980299771,Delta Outflow,cfs,2008 & 2009 BiOp
1943-04-30,C407,33275.14511589369,Delta Outflow,cfs,2008 & 2009 BiOp
1943-05-31,C407,11654.151958685638,Delta Outflow,cfs,2008 & 2009 BiOp
1943-06-30,C407,1235.3529176211678,Delta Outflow,cfs,2008 & 2009 BiOp
1943-07-31,C407,3194.191525654329,Delta Outflow,cfs,2008 & 2009 BiOp
1943-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1943-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1943-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1943-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1943-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1944-01-31,C407,5614.120362013944,Delta Outflow,cfs,2008 & 2009 BiOp
1944-02-29,C407,18858.140748240956,Delta Outflow,cfs,2008 & 2009 BiOp
1944-03-31,C407,13654.311380097235,Delta Outflow,cfs,2008 & 2009 BiOp
1944-04-30,C407,4613.099366898038,Delta Outflow,cfs,2008 & 2009 BiOp
1944-05-31,C407,5109.677666635709,Delta Outflow,cfs,2008 & 2009 BiOp
1944-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1944-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1944-08-31,C407,516.7358086467266,Delta Outflow,cfs,2008 & 2009 BiOp
1944-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1944-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1944-11-30,C407,1749.9127197165326,Delta Outflow,cfs,2008 & 2009 BiOp
1944-12-31,C407,2482.6081142972944,Delta Outflow,cfs,2008 & 2009 BiOp
1945-01-31,C407,2906.3103116242764,Delta Outflow,cfs,2008 & 2009 BiOp
1945-02-28,C407,43224.78686493179,Delta Outflow,cfs,2008 & 2009 BiOp
1945-03-31,C407,7497.153453532708,Delta Outflow,cfs,2008 & 2009 BiOp
1945-04-30,C407,11654.87432604772,Delta Outflow,cfs,2008 & 2009 BiOp
1945-05-31,C407,8354.50888698122,Delta Outflow,cfs,2008 & 2009 BiOp
1945-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1945-07-31,C407,94.08920316100102,Delta Outflow,cfs,2008 & 2009 BiOp
1945-08-31,C407,54.59089458652306,Delta Outflow,cfs,2008 & 2009 BiOp
1945-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1945-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1945-11-30,C407,3043.155648111202,Delta Outflow,cfs,2008 & 2009 BiOp
1945-12-31,C407,64728.79445249695,Delta Outflow,cfs,2008 & 2009 BiOp
1946-01-31,C407,40550.178180951465,Delta Outflow,cfs,2008 & 2009 BiOp
1946-02-28,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1946-03-31,C407,4877.300049064046,Delta Outflow,cfs,2008 & 2009 BiOp
1946-04-30,C407,10341.681784990018,Delta Outflow,cfs,2008 & 2009 BiOp
1946-05-31,C407,6699.681734964115,Delta Outflow,cfs,2008 & 2009 BiOp
1946-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1946-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1946-08-31,C407,8.893511084241112,Delta Outflow,cfs,2008 & 2009 BiOp
1946-09-30,C407,830.107834815265,Delta Outflow,cfs,2008 & 2009 BiOp
1946-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1946-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1946-12-31,C407,4088.503681674174,Delta Outflow,cfs,2008 & 2009 BiOp
1947-01-31,C407,840.5262904663996,Delta Outflow,cfs,2008 & 2009 BiOp
1947-02-28,C407,8914.647681104372,Delta Outflow,cfs,2008 & 2009 BiOp
1947-03-31,C407,10614.616011914757,Delta Outflow,cfs,2008 & 2009 BiOp
1947-04-30,C407,4480.250343092381,Delta Outflow,cfs,2008 & 2009 BiOp
1947-05-31,C407,2458.058276406038,Delta Outflow,cfs,2008 & 2009 BiOp
1947-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1947-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1947-08-31,C407,89.18861072571508,Delta Outflow,cfs,2008 & 2009 BiOp
1947-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1947-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1947-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1947-12-31,C407,103.66257904807753,Delta Outflow,cfs,2008 & 2009 BiOp
1948-01-31,C407,8328.832404427098,Delta Outflow,cfs,2008 & 2009 BiOp
1948-02-29,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1948-03-31,C407,7687.755654030716,Delta Outflow,cfs,2008 & 2009 BiOp
1948-04-30,C407,23640.547218175576,Delta Outflow,cfs,2008 & 2009 BiOp
1948-05-31,C407,19144.309073083117,Delta Outflow,cfs,2008 & 2009 BiOp
1948-06-30,C407,7932.155331753919,Delta Outflow,cfs,2008 & 2009 BiOp
1948-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1948-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1948-09-30,C407,1103.3293980329618,Delta Outflow,cfs,2008 & 2009 BiOp
1948-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1948-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1948-12-31,C407,1431.5855964172933,Delta Outflow,cfs,2008 & 2009 BiOp
1949-01-31,C407,2353.8726412254364,Delta Outflow,cfs,2008 & 2009 BiOp
1949-02-28,C407,2343.0073838040826,Delta Outflow,cfs,2008 & 2009 BiOp
1949-03-31,C407,41021.491878739114,Delta Outflow,cfs,2008 & 2009 BiOp
1949-04-30,C407,7110.816355229614,Delta Outflow,cfs,2008 & 2009 BiOp
1949-05-31,C407,249.56872685339113,Delta Outflow,cfs,2008 & 2009 BiOp
1949-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1949-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1949-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1949-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1949-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1949-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1949-12-31,C407,670.2508053887532,Delta Outflow,cfs,2008 & 2009 BiOp
1950-01-31,C407,14821.45186443068,Delta Outflow,cfs,2008 & 2009 BiOp
1950-02-28,C407,28435.1189334471,Delta Outflow,cfs,2008 & 2009 BiOp
1950-03-31,C407,3106.7575086152665,Delta Outflow,cfs,2008 & 2009 BiOp
1950-04-30,C407,14388.579889841922,Delta Outflow,cfs,2008 & 2009 BiOp
1950-05-31,C407,3627.6270617429564,Delta Outflow,cfs,2008 & 2009 BiOp
1950-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1950-07-31,C407,492.6773878152162,Delta Outflow,cfs,2008 & 2009 BiOp
1950-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
